# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.863522970598e-03      -1.318855856415e-01      -1.245009459461e-02      -4.507282348414e-01      -5.255692378875e-02      -2.485520301448e-03      -1.587953782293e+00       2.026810283864e-02      -1.049166745545e+00       3.585115285452e+03 
       1.964563180755e-03      -1.533916251451e-01      -1.449577456100e-02      -4.802278496885e-01      -5.797819767757e-02      -3.038773709049e-03      -1.763922152540e+00       2.466453361432e-02      -1.220774266619e+00       3.755860014952e+03 
       2.067801897985e-03      -1.775319634008e-01      -1.679556554797e-02      -5.119666981023e-01      -6.373819883489e-02      -3.689500508418e-03      -1.953124103885e+00       2.983081567679e-02      -1.413508441216e+00       3.928047620246e+03 
       2.173054556912e-03      -2.044785564729e-01      -1.936677250724e-02      -5.459847399446e-01      -6.977198908072e-02      -4.473781816987e-03      -2.155773670256e+00       3.585898445784e-02      -1.628766314262e+00       4.101247409930e+03 
       2.280147742849e-03      -2.343987077082e-01      -2.222636773098e-02      -5.823157986607e-01      -7.615287604359e-02      -5.371835248861e-03      -2.372045728424e+00       4.284531036495e-02      -1.867909838585e+00       4.275062917373e+03 
       2.388920162772e-03      -2.674544581447e-01      -2.539093214498e-02      -6.209881060934e-01      -8.275569697693e-02      -6.444029943333e-03      -2.602080485745e+00       5.088995208140e-02      -2.132260866673e+00       4.449132835139e+03 
       2.499223011227e-03      -3.038021093240e-01      -2.887660868242e-02      -6.620252042442e-01      -8.966632105212e-02      -7.665821585553e-03      -2.845987735058e+00       6.009652048735e-02      -2.423097200671e+00       4.623130447170e+03 
       2.610919883542e-03      -3.435918805128e-01      -3.269906826645e-02      -7.054464308808e-01      -9.679320821108e-02      -9.084280677739e-03      -3.103850774276e+00       7.057174220725e-02      -2.741649709180e+00       4.796762902181e+03 
       2.723886368643e-03      -3.869677321060e-01      -3.687349037577e-02      -7.512675856106e-01      -1.041293113108e-01      -1.071271532189e-02      -3.375729838654e+00       8.242499506622e-02      -3.089100767985e+00       4.969769573446e+03 
       2.838009429999e-03      -4.340672403353e-01      -4.141454784694e-02      -7.995014166270e-01      -1.116866770590e-01      -1.255698318245e-02      -3.661665260374e+00       9.576800067144e-02      -3.466583126668e+00       5.141919294100e+03 
       2.953186659667e-03      -4.850215421234e-01      -4.633639845151e-02      -8.501580761441e-01      -1.193804823543e-01      -1.466218442016e-02      -3.961680160159e+00       1.107144572177e-01      -3.875179343516e+00       5.313007790376e+03 
       3.069325469253e-03      -5.399552118701e-01      -5.165267261738e-02      -9.032454693740e-01      -1.272222685219e-01      -1.703498833923e-02      -4.275782644181e+00       1.273797366234e-01      -4.315920683807e+00       5.482856460799e+03 
