# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       9.062691543801e-03      -8.954032816268e+00      -9.253446723697e-01      -6.165038717305e+00       3.346721897173e-02      -1.014038662564e+00      -3.429635096090e+01       5.022757658678e+00      -7.290305511191e+01       1.126763147591e+04 
       9.190788189276e-03      -9.250957469930e+00      -9.577702563823e-01      -6.329721992061e+00       6.362831311352e-02      -1.065956020345e+00      -3.519933005150e+01       5.245704273625e+00      -7.535102873729e+01       1.133968471134e+04 
       9.318938788829e-03      -9.552249388852e+00      -9.907711811695e-01      -6.496578233461e+00       9.549730885528e-02      -1.119649420095e+00      -3.611180939659e+01       5.474555080560e+00      -7.783681532075e+01       1.141004221549e+04 
       9.447141883372e-03      -9.857845552641e+00      -1.024344435611e+00      -6.665601947820e+00       1.291062972718e-01      -1.175145401358e+00      -3.703367719373e+01       5.709338172420e+00      -8.035998196503e+01       1.147872434074e+04 
       9.575396106365e-03      -1.016766412937e+01      -1.058485226852e+00      -6.836787717172e+00       1.644884774357e-01      -1.232470646424e+00      -3.796482173951e+01       5.950078751835e+00      -8.291995897037e+01       1.154573437027e+04 
       9.703700178372e-03      -1.048163414851e+01      -1.093189754267e+00      -7.010130090529e+00       2.016763042363e-01      -1.291651370050e+00      -3.890513141539e+01       6.196800492883e+00      -8.551625546659e+01       1.161108669399e+04 
       9.832052902031e-03      -1.079971638730e+01      -1.128457131872e+00      -7.185623726777e+00       2.407000896725e-01      -1.352712583745e+00      -3.985449475707e+01       6.449524114438e+00      -8.814861106765e+01       1.167482722197e+04 
       9.960453157397e-03      -1.112185800670e+01      -1.164285192978e+00      -7.363263261463e+00       2.815899803381e-01      -1.415679085130e+00      -4.081280043973e+01       6.708268999810e+00      -9.081666708779e+01       1.173699045606e+04 
       1.008889989764e-02      -1.144793834010e+01      -1.200665424261e+00      -7.543043417803e+00       3.243766440121e-01      -1.480575494364e+00      -4.177993736687e+01       6.973051460403e+00      -9.351957442279e+01       1.179755082119e+04 
       1.021739214505e-02      -1.177783552896e+01      -1.237589187213e+00      -7.724958952034e+00       3.690906232395e-01      -1.547426244054e+00      -4.275579456151e+01       7.243886656508e+00      -9.625647530813e+01       1.185648188923e+04 
       1.034592898734e-02      -1.211152870212e+01      -1.275057184933e+00      -7.909004641454e+00       4.157606487556e-01      -1.616254648532e+00      -4.374026140419e+01       7.520786793780e+00      -9.902724172500e+01       1.191384714356e+04 
