# Hexadecapole moment of PT power spectra at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Ib2 (Mpc/h)^3          7:IbG2 (Mpc/h)^3         8:Ib1b2 (Mpc/h)^3        9:Ib1bG2 (Mpc/h)^3      10:Ib2b2 (Mpc/h)^3       11:Ib2bG2 (Mpc/h)^3      12:IbG2bG2 (Mpc/h)^3     13:Ptree_vv (Mpc/h)^3 
       1.863522970598e-03      -1.700335673368e-01      -9.361555194098e-02       3.332793209029e-04      -1.791558077431e-03       5.308805873415e-04      -9.297755590160e-04       8.488168743210e-07       8.417007033424e-06       1.707881034851e-09      -1.992527873993e-08       3.472691437531e-08       5.158950560028e+02 
       1.964563180755e-03      -1.978339532744e-01      -1.089280665996e-01       4.108734799593e-04      -2.085929693629e-03       6.491832294509e-04      -1.135748858287e-03       1.044084605972e-06       1.028485959187e-05       1.707881034851e-09      -1.992527873993e-08       4.554349426270e-08       5.404650781051e+02 
       2.067801897985e-03      -2.290556735282e-01      -1.261264491151e-01       5.033005858034e-04      -2.416867670670e-03       7.865640413070e-04      -1.377978194754e-03       1.283187950851e-06       1.248916471419e-05       1.707881034851e-09      -1.992527873993e-08       5.636007415009e-08       5.652427288055e+02 
       2.173054556912e-03      -2.639251583966e-01      -1.453357448440e-01       6.126009869781e-04      -2.786862176465e-03       9.537507929833e-04      -1.668028200197e-03       1.533107875618e-06       1.502992240037e-05       1.707881034851e-09      -3.074185862732e-08       6.717665403748e-08       5.901660319897e+02 
       2.280147742849e-03      -3.026633000888e-01      -1.666779477285e-01       7.410017603529e-04      -3.198355509495e-03       1.140765474180e-03      -2.000936341621e-03       1.869560439484e-06       1.800505116308e-05       1.707881034851e-09      -3.074185862732e-08       7.799323392487e-08       6.151779364413e+02 
       2.388920162772e-03      -3.454845743054e-01      -1.902715346146e-01       8.908478265887e-04      -3.653733650952e-03       1.366891769663e-03      -2.395574704463e-03       2.216829583237e-06       2.139291784254e-05       1.707881034851e-09      -4.155843851471e-08       8.880981381226e-08       6.402264503094e+02 
       2.499223011227e-03      -3.925965176260e-01      -2.162311697886e-01       1.064658879505e-03      -4.155319555260e-03       1.619958180590e-03      -2.845634376180e-03       2.640384079880e-06       2.529144095143e-05       1.707881034851e-09      -5.237501840210e-08       1.104429735870e-07       6.652645594515e+02 
       2.610919883542e-03      -4.441991849727e-01      -2.446673696629e-01       1.265083273295e-03      -4.705368255002e-03       1.913949406167e-03      -3.366088919097e-03       3.107204896072e-06       2.971029848227e-05      -9.108698852539e-09      -6.319159828949e-08       1.212595534744e-07       6.902501228110e+02 
       2.723886368643e-03      -5.004849981782e-01      -2.756864390153e-01       1.494945273894e-03      -5.306064064317e-03       2.250223781111e-03      -3.961933315949e-03       3.628677905380e-06       3.469446463564e-05      -9.108698852539e-09      -7.400817817688e-08       1.428927132492e-07       7.151456364122e+02 
       2.838009429999e-03      -5.616384527992e-01      -3.093903047554e-01       1.757164788580e-03      -5.959518391972e-03       2.627151986915e-03      -4.635937180479e-03       4.236683553787e-06       4.030826959720e-05      -9.108698852539e-09      -8.482475806427e-08       1.645258730240e-07       7.399178355495e+02 
       2.953186659667e-03      -6.278361602440e-01      -3.458764760735e-01       2.054837636375e-03      -6.667768529312e-03       3.057438381304e-03      -5.402573665871e-03       4.899341395309e-06       4.656252994682e-05      -9.108698852539e-09      -9.564133795166e-08       1.867283264771e-07       7.645373253938e+02 
       3.069325469253e-03      -6.992465665422e-01      -3.852379983286e-01       2.391166094219e-03      -7.432775883378e-03       3.539378499005e-03      -6.264894755535e-03       5.637715296043e-06       5.353410033109e-05      -9.108698852539e-09      -1.064579178391e-07       2.083614862518e-07       7.889784053478e+02 
       3.186342263839e-03      -7.760301476113e-01      -4.275633892867e-01       2.769483945892e-03      -8.256426444636e-03       4.076316371083e-03      -7.230175453385e-03       6.462621835876e-06       6.125429190229e-05      -9.108698852539e-09      -1.280910776138e-07       2.408112259140e-07       8.132185332069e+02 
       3.304161630640e-03      -8.583396278666e-01      -4.729368992885e-01       3.193276976586e-03      -9.140533324038e-03       4.677937390888e-03      -8.310935096699e-03       7.363813728600e-06       6.976750956734e-05      -9.108698852539e-09      -1.394769511795e-07       2.624443856888e-07       8.372380133244e+02 
       3.422715563174e-03      -9.463196500299e-01      -5.214382288799e-01       3.666128890006e-03      -1.008683314154e-02       5.344763600723e-03      -9.512484056910e-03       8.352107554100e-06       7.911645035212e-05      -9.108698852539e-09      -1.611101109543e-07       2.948941253510e-07       8.610199002674e+02 
       3.541942733498e-03      -1.040107291480e+00      -5.731428550165e-01       4.191741233649e-03      -1.109699072892e-02       6.080106581914e-03      -1.084248787340e-02       9.437750598587e-06       8.934494986984e-05      -9.108698852539e-09      -1.827432707291e-07       3.387297385788e-07       8.845495097564e+02 
       3.661787819128e-03      -1.139832124596e+00      -6.281220293567e-01       4.773925997984e-03      -1.217259932946e-02       6.892370247739e-03      -1.231286926366e-02       1.062131215574e-05       1.004968437337e-04      -9.108698852539e-09      -2.043764305038e-07       3.711794782410e-07       9.078141200996e+02 
       3.782200887106e-03      -1.245615708949e+00      -6.864424890597e-01       5.416646605599e-03      -1.331517573554e-02       7.785116668745e-03      -1.393171789087e-02       1.189197564567e-05       1.126148289697e-04      -1.992527873993e-08      -2.368261701660e-07       4.144457977905e-07       9.308028780228e+02 
       3.903136834842e-03      -1.357573207528e+00      -7.481673636708e-01       6.123919992688e-03      -1.452617559337e-02       8.760712398751e-03      -1.570634120868e-02       1.328162151436e-05       1.257421718972e-04      -1.992527873993e-08      -2.692759098282e-07       4.577121173401e-07       9.535065853484e+02 
       4.024554885575e-03      -1.475811749446e+00      -8.133552238315e-01       6.899884354999e-03      -1.580697711303e-02       9.825879657512e-03      -1.764761955787e-02       1.476918589571e-05       1.399124608434e-04      -1.992527873993e-08      -2.914783632812e-07       5.015477305679e-07       9.759174983161e+02 
