# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.357110107710e-02       8.675491215991e+03 
       8.661162632878e-02       8.132132547897e+03 
       8.969450390871e-02       7.611822295138e+03 
       9.280445768654e-02       7.132218287720e+03 
       9.593139095799e-02       6.705653326688e+03 
       9.906884262370e-02       6.338782773323e+03 
       1.022127616626e-01       6.032391372015e+03 
       1.053606401396e-01       5.783341411754e+03 
       1.085109374205e-01       5.584071188682e+03 
       1.116627114873e-01       5.424653415382e+03 
       1.148153878999e-01       5.293920690768e+03 
       1.179686168691e-01       5.180007414642e+03 
       1.211221855194e-01       5.071876542153e+03 
       1.242759642813e-01       4.959636891317e+03 
       1.274298742289e-01       4.835778250351e+03 
       1.305838672122e-01       4.696401503890e+03 
       1.337379137828e-01       4.540009118730e+03 
       1.368919958615e-01       4.368112310911e+03 
       1.400461022852e-01       4.184717911712e+03 
       1.432002261030e-01       3.995191259072e+03 
       1.463543629341e-01       3.805755369664e+03 
       1.495085099701e-01       3.622473394734e+03 
       1.526626653685e-01       3.450679705224e+03 
       1.558168278836e-01       3.294531673917e+03 
       1.589709966415e-01       3.156567718594e+03 
       1.621251710027e-01       3.037771094137e+03 
       1.652793504782e-01       2.937716603325e+03 
       1.684335346774e-01       2.854729816182e+03 
       1.715877232763e-01       2.786121554496e+03 
       1.747419159972e-01       2.728375013366e+03 
       1.778961125963e-01       2.678121622146e+03 
       1.810503128555e-01       2.632321966026e+03 
       1.842045165767e-01       2.586644627368e+03 
       1.873587235785e-01       2.538269407126e+03 
       1.905129336936e-01       2.485140845680e+03 
       1.936671467667e-01       2.426153346724e+03 
       1.968213626534e-01       2.361215886957e+03 
       1.999755812187e-01       2.291200466826e+03 
       2.031298023366e-01       2.217580952472e+03 
       2.062840258887e-01       2.142321558548e+03 
       2.094382517641e-01       2.067429277396e+03 
       2.125924798586e-01       1.994755164743e+03 
       2.157467100740e-01       1.925855011987e+03 
       2.189009423181e-01       1.861970765712e+03 
       2.220551765036e-01       1.804040170964e+03 
       2.252094125485e-01       1.752420277758e+03 
       2.283636503752e-01       1.707178176449e+03 
       2.315178899103e-01       1.667642266606e+03 
       2.346721310845e-01       1.633195981178e+03 
       2.378263738321e-01       1.602722529984e+03 
       2.409806180910e-01       1.574972340865e+03 
       2.441348638023e-01       1.548665246863e+03 
       2.472891109099e-01       1.522803080016e+03 
       2.504433593608e-01       1.496434125959e+03 
