# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  111       4.132519793616e-10       1.241823221740e-13      -4.098489500784e-12       5.449589829392e-16       8.214407127165e-12       1.213379686913e-12      -6.466236708188e-15 
  112       4.178511330257e-10       1.258755335264e-13      -4.185263875339e-12       5.550332779214e-16       8.020791905755e-12       1.190465636447e-12      -6.414145811234e-15 
  113       4.224704329251e-10       1.275288701196e-13      -4.271331201922e-12       5.652138520789e-16       7.833224989408e-12       1.168204561292e-12      -6.362703612414e-15 
  114       4.271086437597e-10       1.291405474275e-13      -4.356614881882e-12       5.755014547888e-16       7.651288742508e-12       1.146550078774e-12      -6.310969482418e-15 
  115       4.317643836088e-10       1.307087867410e-13      -4.441037619924e-12       5.858968529934e-16       7.474500281252e-12       1.125448292647e-12      -6.257926658819e-15 
  116       4.364363126633e-10       1.322318627649e-13      -4.524522418345e-12       5.964008204141e-16       7.302417621583e-12       1.104850034243e-12      -6.202704508318e-15 
  117       4.411237346629e-10       1.337082509534e-13      -4.606995650085e-12       6.070141033008e-16       7.134976529460e-12       1.084749712616e-12      -6.145279752486e-15 
  118       4.458260608325e-10       1.351364999459e-13      -4.688384402120e-12       6.177374508554e-16       6.972191508526e-12       1.065150824883e-12      -6.085857572632e-15 
  119       4.505426208131e-10       1.365151878594e-13      -4.768615566676e-12       6.285716259257e-16       6.814050757111e-12       1.046053838809e-12      -6.024655416416e-15 
  120       4.552726600597e-10       1.378429236466e-13      -4.847615871708e-12       6.395174050980e-16       6.660515361100e-12       1.027456097860e-12      -5.961903209596e-15 
  121       4.600153372411e-10       1.391183484526e-13      -4.925311911365e-12       6.505755787901e-16       6.511518486806e-12       1.009351726256e-12      -5.897843567777e-15 
  122       4.647697216380e-10       1.403401369728e-13      -5.001630176472e-12       6.617469513434e-16       6.366964573837e-12       9.917315340205e-13      -5.832732008157e-15 
  123       4.695347905418e-10       1.415069988099e-13      -5.076497084997e-12       6.730323411156e-16       6.226728527962e-12       9.745829220370e-13      -5.766837161280e-15 
  124       4.743094266540e-10       1.426176798311e-13      -5.149839012526e-12       6.844325805732e-16       6.090654913985e-12       9.578897870986e-13      -5.700440982784e-15 
  125       4.790924154842e-10       1.436709635259e-13      -5.221582322738e-12       6.959485163843e-16       5.958557148612e-12       9.416324269615e-13      -5.633838965147e-15 
  126       4.838824427497e-10       1.446656723631e-13      -5.291653397875e-12       7.075810095108e-16       5.830216693319e-12       9.257874453972e-13      -5.567340349438e-15 
  127       4.886780917737e-10       1.456006691481e-13      -5.359978669216e-12       7.193309353009e-16       5.705382247223e-12       9.103276572450e-13      -5.501268337066e-15 
  128       4.934778408843e-10       1.464748583803e-13      -5.426484647554e-12       7.311991835823e-16       5.583768939948e-12       8.952219934646e-13      -5.435960301527e-15 
  129       4.982802105669e-10       1.472872311653e-13      -5.491098767670e-12       7.431866523628e-16       5.465119700729e-12       8.804421813241e-13      -5.371695033196e-15 
  130       5.030842286980e-10       1.480370026384e-13      -5.553751961789e-12       7.552942279578e-16       5.349398691748e-12       8.659838151879e-13      -5.308465000030e-15 
  131       5.078890116695e-10       1.487234922520e-13      -5.614376427341e-12       7.675228028475e-16       5.236617668139e-12       8.518474285495e-13      -5.246179387453e-15 
  132       5.126936176964e-10       1.493460832242e-13      -5.672904874199e-12       7.798732819195e-16       5.126775345240e-12       8.380318800854e-13      -5.184734518498e-15 
  133       5.174970452863e-10       1.499042242086e-13      -5.729270560979e-12       7.923465825152e-16       5.019857036366e-12       8.245343071885e-13      -5.124013543435e-15 
  134       5.222982317103e-10       1.503974309626e-13      -5.783407331337e-12       8.049436344770e-16       4.915834290595e-12       8.113500795009e-13      -5.063886129395e-15 
  135       5.270960514734e-10       1.508252880167e-13      -5.835249650266e-12       8.176653801947e-16       4.814664530543e-12       7.984727524464e-13      -5.004208149989e-15 
  136       5.318893147843e-10       1.511874503436e-13      -5.884732640398e-12       8.305127746526e-16       4.716290690146e-12       7.858940207636e-13      -4.944821374938e-15 
  137       5.366767660266e-10       1.514836450269e-13      -5.931792118296e-12       8.434867854762e-16       4.620640852438e-12       7.736036720387e-13      -4.885553159695e-15 
  138       5.414570822287e-10       1.517136729304e-13      -5.976364630755e-12       8.565883929790e-16       4.527627887331e-12       7.615895402384e-13      -4.826216135066e-15 
  139       5.462288715341e-10       1.518774103669e-13      -6.018387491102e-12       8.698185902096e-16       4.437149089395e-12       7.498374592425e-13      -4.766607896838e-15 
  140       5.509906716720e-10       1.519748107670e-13      -6.057798815489e-12       8.831783829979e-16       4.349085815635e-12       7.383312163771e-13      -4.706510695397e-15 
  141       5.557409484279e-10       1.520059063488e-13      -6.094537559195e-12       8.966687900026e-16       4.263303123276e-12       7.270525059469e-13      -4.645691125361e-15 
  142       5.604780941134e-10       1.519708097860e-13      -6.128543552922e-12       9.102908427576e-16       4.179649407536e-12       7.159808827687e-13      -4.583899815194e-15 
  143       5.652004260370e-10       1.518697158775e-13      -6.159757539095e-12       9.240455857189e-16       4.097956039407e-12       7.050937157038e-13      -4.520871116838e-15 
  144       5.699063157864e-10       1.517029180916e-13      -6.188121849306e-12       9.379339893605e-16       4.018072792420e-12       6.943713698253e-13      -4.456390883722e-15 
  145       5.745945946686e-10       1.514708565143e-13      -6.213582435305e-12       9.519566797060e-16       3.939978823915e-12       6.838134268130e-13      -4.390507990955e-15 
  146       5.792641855193e-10       1.511740778230e-13      -6.236087108174e-12       9.661141820975e-16       3.863681997403e-12       6.734239827852e-13      -4.323343175259e-15 
  147       5.839139747090e-10       1.508132225739e-13      -6.255584954782e-12       9.804070053029e-16       3.789183920911e-12       6.632065469831e-13      -4.255022899296e-15 
  148       5.885428113650e-10       1.503890269571e-13      -6.272026377769e-12       9.948356410634e-16       3.716479790435e-12       6.531640253546e-13      -4.185679432603e-15 
  149       5.931495065938e-10       1.499023245508e-13      -6.285363135529e-12       1.009400563641e-15       3.645558233412e-12       6.432987041355e-13      -4.115450932528e-15 
  150       5.977328327033e-10       1.493540480757e-13      -6.295548382193e-12       1.024102229363e-15       3.576401152175e-12       6.336122334328e-13      -4.044481525168e-15 
  151       6.022915224248e-10       1.487452311498e-13      -6.302536707611e-12       1.038941076174e-15       3.508983567425e-12       6.241056108069e-13      -3.972921386305e-15 
  152       6.068242681354e-10       1.480770100425e-13      -6.306284177336e-12       1.053917523179e-15       3.443273461687e-12       6.147791648539e-13      -3.900926822341e-15 
  153       6.113297210798e-10       1.473506254293e-13      -6.306748372604e-12       1.069031970191e-15       3.379231622777e-12       6.056325387882e-13      -3.828660351234e-15 
  154       6.158064905929e-10       1.465674241463e-13      -6.303888430319e-12       1.084284797279e-15       3.316811487266e-12       5.966646740253e-13      -3.756290783440e-15 
  155       6.202531433218e-10       1.457288609447e-13      -6.297665083035e-12       1.099676364316e-15       3.255958983938e-12       5.878737937635e-13      -3.683993302841e-15 
  156       6.246682024480e-10       1.448365002451e-13      -6.288040698938e-12       1.115207010523e-15       3.196612377260e-12       5.792573865670e-13      -3.611949547688e-15 
  157       6.290501469094e-10       1.438920178923e-13      -6.274979321831e-12       1.130877054020e-15       3.138702110840e-12       5.708121899482e-13      -3.540347691535e-15 
  158       6.333974106227e-10       1.428972029092e-13      -6.258446711114e-12       1.146686791370e-15       3.082150650895e-12       5.625341739500e-13      -3.469382524177e-15 
  159       6.377083817055e-10       1.418539592521e-13      -6.238410381767e-12       1.162636497127e-15       3.026872329710e-12       5.544185247283e-13      -3.399255532582e-15 
  160       6.419814016985e-10       1.407643075645e-13      -6.214839644335e-12       1.178726423385e-15       2.972773189101e-12       5.464596281348e-13      -3.330174981834e-15 
  161       6.462148758921e-10       1.396303419475e-13      -6.187705618639e-12       1.194956785161e-15       2.919770264518e-12       5.386523329870e-13      -3.262316322346e-15 
  162       6.504076169039e-10       1.384540922897e-13      -6.156981192343e-12       1.211327716057e-15       2.867851682390e-12       5.309959008891e-13      -3.195699306915e-15 
  163       6.545585301398e-10       1.372376530592e-13      -6.122641135121e-12       1.227839307795e-15       2.817021602922e-12       5.234903759541e-13      -3.130300110896e-15 
  164       6.586665051572e-10       1.359832287280e-13      -6.084662164139e-12       1.244491623509e-15       2.767281190893e-12       5.161353260849e-13      -3.066089927765e-15 
  165       6.627304153987e-10       1.346931353199e-13      -6.043022983919e-12       1.261284697231e-15       2.718628548559e-12       5.089298324447e-13      -3.003034867521e-15 
  166       6.667491179256e-10       1.333698019578e-13      -5.997704326198e-12       1.278218533370e-15       2.671058648565e-12       5.018724789271e-13      -2.941095855095e-15 
  167       6.707214531507e-10       1.320157724112e-13      -5.948688989795e-12       1.295293106194e-15       2.624563266850e-12       4.949613416260e-13      -2.880228528743e-15 
  168       6.746462445721e-10       1.306337066437e-13      -5.895961880467e-12       1.312508359314e-15       2.579130915553e-12       4.881939783060e-13      -2.820383138456e-15 
  169       6.785222985064e-10       1.292263823607e-13      -5.839510050774e-12       1.329864205161e-15       2.534746775923e-12       4.815674178725e-13      -2.761504444361e-15 
