# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=1
# for k=1.02819e-05 to 109.889 h/Mpc,
# number of wavenumbers equal to 588
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       2.055369565667e-03       2.854825255919e+03      -1.229240920027e-02      -3.810991599002e-01      -3.863907740031e-02      -2.011201083495e-03      -1.179431427861e+00       1.683092713235e-02      -8.148977890225e-01 
       2.158023376380e-03       2.983468812397e+03      -1.415961406805e-02      -4.015630876889e-01      -4.226275403351e-02      -2.439551280693e-03      -1.299413437695e+00       2.020832913561e-02      -9.380907240469e-01 
       2.262457060233e-03       3.112838207685e+03      -1.623592008905e-02      -4.233936456402e-01      -4.606097496841e-02      -2.943694520196e-03      -1.427332053436e+00       2.411744830731e-02      -1.074944016620e+00 
       2.368518264944e-03       3.242668638581e+03      -1.853359350415e-02      -4.466074738215e-01      -5.002975065150e-02      -3.530769817981e-03      -1.563270244643e+00       2.861367562244e-02      -1.226231899208e+00 
       2.476066036375e-03       3.372718546030e+03      -2.106463198065e-02      -4.712184412882e-01      -5.416056734008e-02      -4.209830035995e-03      -1.707293761983e+00       3.375438496183e-02      -1.392706918018e+00 
       2.584970795220e-03       3.502769116456e+03      -2.384074427601e-02      -4.972380115057e-01      -5.843693939749e-02      -4.993272792535e-03      -1.859453317493e+00       3.959872573634e-02      -1.575098638918e+00 
       2.695114015810e-03       3.632622791333e+03      -2.687329829045e-02      -5.246755633953e-01      -6.284989391384e-02      -5.890545309016e-03      -2.019786433858e+00       4.620747505008e-02      -1.774109945837e+00 
       2.806387703506e-03       3.762102433320e+03      -3.017334197361e-02      -5.535386886637e-01      -6.738797051151e-02      -6.912240402921e-03      -2.188319276161e+00       5.364277257477e-02      -1.990418763489e+00 
       2.918693747237e-03       3.891050290337e+03      -3.375158380734e-02      -5.838334427820e-01      -7.203344113085e-02      -8.071667302298e-03      -2.365068121395e+00       6.196798062146e-02      -2.224676690428e+00 
       3.031943205484e-03       4.019326148928e+03      -3.761836193111e-02      -6.155645595407e-01      -7.677203468263e-02      -9.380891779982e-03      -2.550040592369e+00       7.124750098974e-02      -2.477506799245e+00 
       3.146055568483e-03       4.146805531825e+03      -4.178369906811e-02      -6.487356529841e-01      -8.159074223189e-02      -1.085160908749e-02      -2.743236982480e+00       8.154657700722e-02      -2.749507908642e+00 
       3.260958026758e-03       4.273378350515e+03      -4.625720957950e-02      -6.833493593254e-01      -8.647181283196e-02      -1.249767271563e-02      -2.944650926892e+00       9.293117440375e-02      -3.041247664683e+00 
       3.376584766142e-03       4.398947333810e+03      -5.104821162020e-02      -7.194074977249e-01      -9.139668649583e-02      -1.433341043390e-02      -3.154270588008e+00       1.054677925296e-01      -3.353271090894e+00 
       3.492876301982e-03       4.523427241958e+03      -5.616560723985e-02      -7.569111620550e-01      -9.634918976442e-02      -1.637238994227e-02      -3.372078962855e+00       1.192233355316e-01      -3.686091602709e+00 
       3.609778859657e-03       4.646743171868e+03      -6.161801876826e-02      -7.958608464609e-01      -1.013124821859e-01      -1.862859333906e-02      -3.598054912161e+00       1.342649926387e-01      -4.040201381027e+00 
       3.727243804616e-03       4.768829747270e+03      -6.741364170280e-02      -8.362565010731e-01      -1.062668901253e-01      -2.111739970963e-02      -3.832173202162e+00       1.506600481398e-01      -4.416060392918e+00 
       3.845227122414e-03       4.889629845292e+03      -7.356042170048e-02      -8.780976354384e-01      -1.111924542679e-01      -2.385442808427e-02      -4.074405474462e+00       1.684758870133e-01      -4.814109735916e+00 
       3.963688947416e-03       5.009094087067e+03      -8.006586157908e-02      -9.213833435053e-01      -1.160704295945e-01      -2.685502600539e-02      -4.324720014005e+00       1.877796668872e-01      -5.234757282498e+00 
       4.082593137699e-03       5.127179680369e+03      -8.693724878959e-02      -9.661123936345e-01      -1.208819799552e-01      -3.013468379619e-02      -4.583082737397e+00       2.086385305164e-01      -5.678394707965e+00 
       4.201906893053e-03       5.243849996952e+03      -9.418142929922e-02      -1.012283235143e+00      -1.256065824095e-01      -3.370981378364e-02      -4.849456791988e+00       2.311190902624e-01      -6.145380803692e+00 
       4.321600412638e-03       5.359073706440e+03      -1.018050187731e-01      -1.059894066299e+00      -1.302229705864e-01      -3.759724863264e-02      -5.123803375799e+00       2.552877821451e-01      -6.636057148009e+00 
       4.441646588792e-03       5.472824350370e+03      -1.098142828435e-01      -1.108942850364e+00      -1.347102488004e-01      -4.181382796333e-02      -5.406081596972e+00       2.812104282566e-01      -7.150739388291e+00 
