# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   80       2.850123845417e-10       6.311510000499e-14      -1.439455790902e-12       2.606698796699e-16       1.791797698720e-11       2.225026533826e-12      -8.380327624710e-15 
   81       2.886096095591e-10       6.512834631838e-14      -1.514363978099e-12       2.672509087874e-16       1.737782006196e-11       2.168623347379e-12      -8.269809742575e-15 
   82       2.922395552600e-10       6.715738405206e-14      -1.590507627349e-12       2.739154083716e-16       1.685912590475e-11       2.114339556843e-12      -8.173196707840e-15 
   83       2.959017904759e-10       6.920036732723e-14      -1.667838162262e-12       2.806636071568e-16       1.635992050265e-11       2.061983625946e-12      -8.090726997053e-15 
   84       2.995958198459e-10       7.125543789669e-14      -1.746305442240e-12       2.874957476176e-16       1.587827981181e-11       2.011367990215e-12      -8.022276798661e-15 
   85       3.033220223564e-10       7.332094805286e-14      -1.825859434687e-12       2.944120751874e-16       1.541389738548e-11       1.962465327073e-12      -7.966495434588e-15 
   86       3.070808378210e-10       7.539527276163e-14      -1.906448816107e-12       3.014128482028e-16       1.496674723632e-11       1.915275156961e-12      -7.921518280562e-15 
   87       3.108724693385e-10       7.747674276828e-14      -1.988020477630e-12       3.084983417438e-16       1.453660214613e-11       1.869775751375e-12      -7.885215116341e-15 
   88       3.146968712586e-10       7.956364464141e-14      -2.070519531000e-12       3.156688480971e-16       1.412302532321e-11       1.825923244052e-12      -7.855181413823e-15 
   89       3.185537371471e-10       8.165422081681e-14      -2.153889314564e-12       3.229246772187e-16       1.372536205971e-11       1.783650742160e-12      -7.828729625160e-15 
   90       3.224424877527e-10       8.374666964135e-14      -2.238071399257e-12       3.302661571978e-16       1.334273138900e-11       1.742867437485e-12      -7.802880470866e-15 
   91       3.263622589717e-10       8.583914541685e-14      -2.323005594588e-12       3.376936347193e-16       1.297401774299e-11       1.703457717625e-12      -7.774354227927e-15 
   92       3.303118898143e-10       8.792975844403e-14      -2.408629954632e-12       3.452074755270e-16       1.261786260954e-11       1.665280277172e-12      -7.739562017917e-15 
