# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]           11:lens[1]-lens[1]       12:dens[1]-lens[1]    
   63       2.179668725153e-10       3.096374312463e-14      -3.709223072297e-13       0.000000000000e+00       3.176416219147e-11       3.699809887241e-12      -7.987867463615e-15       4.145323662121e-04       8.619995157440e-08       1.889855178629e-12       2.216942345490e-08 
   64       2.208767514398e-10       3.242937189987e-14      -4.169493543867e-13       0.000000000000e+00       3.062791772629e-11       3.582320272909e-12      -8.128874046502e-15       4.223183837001e-04       8.520606599995e-08       1.801677717008e-12       2.183483154808e-08 
   65       2.238145011859e-10       3.392919931332e-14      -4.646712295994e-13       0.000000000000e+00       2.954768246333e-11       3.470418596009e-12      -8.251502656676e-15       4.300579878952e-04       8.422611020891e-08       1.719057559642e-12       2.150909283576e-08 
   66       2.267808650038e-10       3.546267447041e-14      -5.140682580845e-13       0.000000000000e+00       2.851917487306e-11       3.363684134787e-12      -8.364279860879e-15       4.377519664928e-04       8.325949996716e-08       1.641502145864e-12       2.119167935914e-08 
   67       2.297759476475e-10       3.702919036632e-14      -5.651176780004e-13       0.000000000000e+00       2.753650679304e-11       3.261531531383e-12      -8.476913856961e-15       4.454014387109e-04       8.230451780587e-08       1.568368633798e-12       2.088165408120e-08 
   68       2.327996493070e-10       3.862805763254e-14      -6.177951274482e-13       0.000000000000e+00       2.659375667333e-11       3.163371289493e-12      -8.597785152447e-15       4.530076570904e-04       8.135931285630e-08       1.499017306607e-12       2.057804194120e-08 
   69       2.358531625101e-10       4.025842163666e-14      -6.720795658832e-13       0.000000000000e+00       2.569023415524e-11       3.069147064572e-12      -8.725726045428e-15       4.605713581638e-04       8.042527779810e-08       1.433323659685e-12       2.028107908615e-08 
   70       2.389377051843e-10       4.191932687015e-14      -7.279492656681e-13       0.000000000000e+00       2.482614676118e-11       2.978893250287e-12      -8.856649872877e-15       4.680932861157e-04       7.950424504084e-08       1.371257876356e-12       1.999117874178e-08 
   71       2.420540430401e-10       4.360973927233e-14      -7.853803538925e-13       0.000000000000e+00       2.400100763186e-11       2.892572357161e-12      -8.985939335285e-15       4.755743814500e-04       7.859744806178e-08       1.312730646745e-12       1.970854918511e-08 
   72       2.452024601275e-10       4.532854467074e-14      -8.443468022236e-13       0.000000000000e+00       2.321359962069e-11       2.810071256257e-12      -9.108426839209e-15       4.830157794494e-04       7.770548499344e-08       1.257590215402e-12       1.943318197815e-08 
