# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]           11:lens[1]-lens[1]       12:dens[1]-lens[1]    
   61       2.122249341380e-10       2.813700982382e-14      -2.840161336269e-13       0.000000000000e+00       3.421355254269e-11       3.952451870087e-12      -7.622006558892e-15       3.988111235414e-04       8.822506416528e-08       2.084047891986e-12       2.286455880024e-08 
   62       2.150836551546e-10       2.953280855015e-14      -3.266065898239e-13       0.000000000000e+00       3.295850531837e-11       3.823127112134e-12      -7.820846857102e-15       4.066909008053e-04       8.720581012610e-08       1.983846103520e-12       2.251220055063e-08 
   63       2.179670066145e-10       3.096374303176e-14      -3.709221634245e-13       0.000000000000e+00       3.176352042461e-11       3.699761073909e-12      -7.987638065596e-15       4.145236250284e-04       8.619850022505e-08       1.889763577744e-12       2.216860792546e-08 
   64       2.208768841192e-10       3.242937185519e-14      -4.169492058579e-13       0.000000000000e+00       3.062729562005e-11       3.582241782037e-12      -8.128677334090e-15       4.223094396521e-04       8.520462754097e-08       1.801587267523e-12       2.183400664874e-08 
   65       2.238146280513e-10       3.392919931913e-14      -4.646710804058e-13       0.000000000000e+00       2.954707840477e-11       3.470309296478e-12      -8.251351487885e-15       4.300488138059e-04       8.422467945038e-08       1.718967978487e-12       2.150825715190e-08 
   66       2.267809819724e-10       3.546267452276e-14      -5.140681127585e-13       0.000000000000e+00       2.851858788398e-11       3.363547664576e-12      -8.364182691370e-15       4.377425459884e-04       8.325807403046e-08       1.641413313677e-12       2.119083276625e-08 
   67       2.297760510206e-10       3.702919045429e-14      -5.651175415702e-13       0.000000000000e+00       2.753593663175e-11       3.261376875097e-12      -8.476874111548e-15       4.453917677485e-04       8.230309646191e-08       1.568280618182e-12       2.088079791549e-08 
   68       2.327997359513e-10       3.862805773920e-14      -6.177950050478e-13       0.000000000000e+00       2.659320376298e-11       3.163212030408e-12      -8.597801395650e-15       4.529977429505e-04       8.135789829281e-08       1.498930344171e-12       2.057717884618e-08 
   69       2.358532303805e-10       4.025842174582e-14      -6.720794610234e-13       0.000000000000e+00       2.568969894146e-11       3.068996300341e-12      -8.725794792064e-15       4.605612101106e-04       8.042387250926e-08       1.433238002674e-12       2.028021179618e-08 
   70       2.389377535801e-10       4.191932696847e-14      -7.279491795746e-13       0.000000000000e+00       2.482562953176e-11       2.978762000889e-12      -8.856766251919e-15       4.680829128011e-04       7.950285123652e-08       1.371173748778e-12       1.999030972406e-08 
   71       2.420540727687e-10       4.360973934975e-14      -7.853802852236e-13       0.000000000000e+00       2.400050850355e-11       2.892469229319e-12      -8.986096974038e-15       4.755637907565e-04       7.859606762619e-08       1.312648240053e-12       1.970768059142e-08 
   72       2.452024736734e-10       4.532854472099e-14      -8.443467467770e-13       0.000000000000e+00       2.321311852565e-11       2.810002094906e-12      -9.108617744007e-15       4.830049783259e-04       7.770411944231e-08       1.257509684016e-12       1.943231559471e-08 
   73       2.483827310931e-10       4.707454724254e-14      -9.048203671670e-13       0.000000000000e+00       2.246147606019e-11       2.731164949645e-12      -9.218589273240e-15       4.904078029271e-04       7.682693264740e-08       1.205540885591e-12       1.916397739704e-08 
   74       2.515940794605e-10       4.884646784418e-14      -9.667707732917e-13       0.000000000000e+00       2.174279545669e-11       2.655678618983e-12      -9.309682538050e-15       4.977737834987e-04       7.596372498850e-08       1.156456294576e-12       1.890218836002e-08 
   75       2.548351834047e-10       5.064294266548e-14      -1.030165405855e-12       0.000000000000e+00       2.105345304619e-11       2.583176632535e-12      -9.374959118712e-15       5.051046289537e-04       7.511296958323e-08       1.109899053102e-12       1.864621877552e-08 
   76       2.581047119120e-10       5.246257059444e-14      -1.094970182497e-12       0.000000000000e+00       2.038988701670e-11       2.513297863493e-12      -9.408634563177e-15       5.124020719663e-04       7.427310687328e-08       1.065521324884e-12       1.839533792907e-08 
   77       2.614032467554e-10       5.430406933911e-14      -1.161151649242e-12       0.000000000000e+00       1.975156585792e-11       2.445992281949e-12      -9.411783173668e-15       5.196673387587e-04       7.344491086369e-08       1.023248721048e-12       1.814964615912e-08 
   78       2.647316702116e-10       5.616614511512e-14      -1.228675204741e-12       0.000000000000e+00       1.913849850794e-11       2.381264368187e-12      -9.387642628704e-15       5.269015793676e-04       7.262949022668e-08       9.830589534897e-13       1.790937385227e-08 
   79       2.680905755514e-10       5.804744552828e-14      -1.297504465379e-12       0.000000000000e+00       1.855033014713e-11       2.319079886964e-12      -9.339939875176e-15       5.341060188894e-04       7.182755748660e-08       9.449016061813e-13       1.767462579698e-08 
   80       2.714802499805e-10       5.994655902180e-14      -1.367601268918e-12       0.000000000000e+00       1.798632548124e-11       2.259364095164e-12      -9.272908029776e-15       5.412819525564e-04       7.103940795189e-08       9.086968903914e-13       1.744537480488e-08 
   81       2.749006575786e-10       6.186201432341e-14      -1.438925678145e-12       0.000000000000e+00       1.744535202444e-11       2.201999949462e-12      -9.191303280432e-15       5.484307408133e-04       7.026489864699e-08       8.743343999098e-13       1.722145533222e-08 
   82       2.783514222394e-10       6.379227989260e-14      -1.511435984522e-12       0.000000000000e+00       1.692586338242e-11       2.146826313989e-12      -9.100421787737e-15       5.555538043940e-04       6.950342724430e-08       8.416718662711e-13       1.700255710122e-08 
   83       2.818318106106e-10       6.573576336770e-14      -1.585088711830e-12       0.000000000000e+00       1.642588253542e-11       2.093636167985e-12      -9.006116586383e-15       5.626526193976e-04       6.875391099611e-08       8.105339139782e-13       1.678821872148e-08 
   84       2.853410918481e-10       6.769084884377e-14      -1.659838731646e-12       0.000000000000e+00       1.594348256955e-11       2.042226635758e-12      -8.913547520981e-15       5.697286785246e-04       6.801526785946e-08       7.807506402501e-13       1.657798382365e-08 
   85       2.888797227741e-10       6.965601701751e-14      -1.735639623797e-12       0.000000000000e+00       1.547835705650e-11       1.992562532123e-12      -8.823155923865e-15       5.767833781860e-04       6.728799766264e-08       7.522834294435e-13       1.637191317236e-08 
   86       2.924483288278e-10       7.162974403882e-14      -1.812443382625e-12       0.000000000000e+00       1.503048057027e-11       1.944636769227e-12      -8.734050509403e-15       5.838181035652e-04       6.657282565408e-08       7.251178107377e-13       1.617014615060e-08 
   87       2.960473341503e-10       7.361046553282e-14      -1.890200315917e-12       0.000000000000e+00       1.459962615248e-11       1.898420037058e-12      -8.645210680486e-15       5.908342553832e-04       6.587021117354e-08       6.992249210927e-13       1.597274220230e-08 
   88       2.996769508575e-10       7.559657668278e-14      -1.968859050427e-12       0.000000000000e+00       1.418535695593e-11       1.853859882073e-12      -8.555482136414e-15       5.978332444062e-04       6.518033502426e-08       6.745609297933e-13       1.577967718497e-08 
   89       3.033371683129e-10       7.758643231316e-14      -2.048366537405e-12       0.000000000000e+00       1.378701788811e-11       1.810879785818e-12      -8.463572480794e-15       6.048164859536e-04       6.450308684509e-08       6.510664629916e-13       1.559083972242e-08 
   90       3.070277424002e-10       7.957834697252e-14      -2.128668058123e-12       0.000000000000e+00       1.340372725478e-11       1.769378243554e-12      -8.368046829427e-15       6.117853944054e-04       6.383805248268e-08       6.286660282507e-13       1.540602755743e-08 
   91       3.107481847968e-10       8.157059501655e-14      -2.209707229402e-12       0.000000000000e+00       1.303436840349e-11       1.729227842884e-12      -8.267323418206e-15       6.187413777102e-04       6.318450136361e-08       6.072674390878e-13       1.522494390446e-08 
   92       3.144977522457e-10       8.356141069102e-14      -2.291426009136e-12       0.000000000000e+00       1.267758136711e-11       1.690274342368e-12      -8.159669211004e-15       6.256858318927e-04       6.254137386653e-08       5.867612395174e-13       1.504719380230e-08 
   93       3.182757047202e-10       8.554900645916e-14      -2.373765204810e-12       0.000000000000e+00       1.233208569005e-11       1.652375130596e-12      -8.043746159691e-15       6.326200207044e-04       6.190767278582e-08       5.670446194405e-13       1.487240701982e-08 
   94       3.220821476303e-10       8.753163095666e-14      -2.456666074528e-12       0.000000000000e+00       1.199772259735e-11       1.615523221238e-12      -7.920353504246e-15       6.395447057996e-04       6.128373249927e-08       5.480985252054e-13       1.470063584019e-08 
   95       3.259172970400e-10       8.950751994708e-14      -2.540068978119e-12       0.000000000000e+00       1.167455484693e-11       1.579740290101e-12      -7.790940613433e-15       6.464604505242e-04       6.067011822385e-08       5.299211364819e-13       1.453201063827e-08 
   96       3.297812151202e-10       9.147487918307e-14      -2.623912907863e-12       0.000000000000e+00       1.136254575375e-11       1.545038580630e-12      -7.657082805312e-15       6.533677228430e-04       6.006723194622e-08       5.125041727015e-13       1.436661677376e-08 
   97       3.336738031135e-10       9.343188473973e-14      -2.708135500927e-12       0.000000000000e+00       1.106155537940e-11       1.511420523106e-12      -7.520484513839e-15       6.602668882702e-04       5.947530534181e-08       4.958326537824e-13       1.420449268105e-08 
   98       3.375947942971e-10       9.537668334809e-14      -2.792673051792e-12       0.000000000000e+00       1.077133672170e-11       1.478878353836e-12      -7.382982455471e-15       6.671582028014e-04       5.889439269384e-08       4.798846608547e-13       1.404562795909e-08 
   99       3.415437469471e-10       9.730739272849e-14      -2.877460524685e-12       0.000000000000e+00       1.049153190442e-11       1.447393734348e-12      -7.246548795770e-15       6.740418058437e-04       5.832436381237e-08       4.646310969850e-13       1.388996146123e-08 
  100       3.455200373024e-10       9.922210192399e-14      -2.962431566011e-12       0.000000000000e+00       1.022166836683e-11       1.416937370580e-12      -7.113294316006e-15       6.809177131474e-04       5.776489695336e-08       4.500354479022e-13       1.373737938511e-08 
  101       3.495228525283e-10       1.011188716338e-13      -3.047518516782e-12       0.000000000000e+00       9.961155053372e-12       1.387468632079e-12      -6.985471579758e-15       6.877858097372e-04       5.721547173774e-08       4.360535427219e-13       1.358771336249e-08 
  102       3.535511836805e-10       1.029957345467e-13      -3.132652425050e-12       0.000000000000e+00       9.709278603272e-12       1.358935171185e-12      -6.865478099524e-15       6.946458428429e-04       5.667536207044e-08       4.226333146718e-13       1.344073854916e-08 
