# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       4.562020733544e-03       1.491467383089e+04      -3.105364099138e-01      -2.911016778297e+01      -3.337725285648e+00      -1.588288160901e+00      -3.519230878238e+01       1.120392820315e+00      -5.416855433736e+01 
       4.682700334552e-03       1.521015204473e+04      -3.336720851048e-01      -2.891715798380e+01      -3.369951764073e+00      -1.555641272229e+00      -3.729967075817e+01       9.314629039013e-01      -5.814474925822e+01 
       4.803664837402e-03       1.550151883839e+04      -3.578677406555e-01      -2.871067340099e+01      -3.400846675345e+00      -1.520357006738e+00      -3.946254552780e+01       6.815583597295e-01      -6.229640909183e+01 
       4.924895451436e-03       1.578874565889e+04      -3.831370748963e-01      -2.849088639114e+01      -3.430251528544e+00      -1.482311694788e+00      -4.168060884644e+01       3.606576388836e-01      -6.662521722685e+01 
       5.046374976562e-03       1.607184142489e+04      -4.094935599935e-01      -2.825795088823e+01      -3.458008609773e+00      -1.441333371636e+00      -4.395352319183e+01       9.018191230658e-02      -7.113279075875e+01 
       5.168087648701e-03       1.635082848369e+04      -4.369505135155e-01      -2.801202127960e+01      -3.483959984268e+00      -1.397238844312e+00      -4.628094472361e+01       2.248966577086e-02      -7.582071072492e+01 
       5.290019001810e-03       1.662569221216e+04      -4.655192397246e-01      -2.775324718599e+01      -3.507945901946e+00      -1.349922264443e+00      -4.866252178314e+01       2.199111547353e-01      -8.069019653657e+01 
       5.412155744608e-03       1.689634257583e+04      -4.952073674415e-01      -2.748176359479e+01      -3.529803666001e+00      -1.299423736828e+00      -5.109789186241e+01       5.743599115389e-01      -8.574181021838e+01 
       5.534485650354e-03       1.716268575583e+04      -5.260220281576e-01      -2.719770762769e+01      -3.549369890353e+00      -1.245795862218e+00      -5.358668852341e+01       9.588306976754e-01      -9.097602241582e+01 
       5.656997458202e-03       1.742470053484e+04      -5.579717550454e-01      -2.690121079771e+01      -3.566481403015e+00      -1.188787609698e+00      -5.612853833997e+01       1.303509529194e+00      -9.639353358463e+01 
       5.779680784837e-03       1.768247887007e+04      -5.910673968920e-01      -2.659239294458e+01      -3.580975636320e+00      -1.127663721762e+00      -5.872305867396e+01       1.630452380657e+00      -1.019954265860e+02 
       5.902526045239e-03       1.793612651744e+04      -6.253199423252e-01      -2.627137560219e+01      -3.592689789203e+00      -1.061644591457e+00      -6.136986409429e+01       1.970042393819e+00      -1.077828044240e+02 
       6.025524381540e-03       1.818571413090e+04      -6.607386367072e-01      -2.593827634413e+01      -3.601460462096e+00      -9.907426828131e-01      -6.406856415400e+01       2.342350095850e+00      -1.137564605793e+02 
