# Monopole moment of PT power spectra P_vv, P_vd, P_dd, P_CTR, Id2d2, Ib1b2, Ib2, Ib1bG2, IbG2(k), Id2G2, IG2G2, IFG2b1, IFG2, Ptree_vv, Ptree_vd, Ptree_dd at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Id2d2 (Mpc/h)^3        7:Ib1b2 (Mpc/h)^3        8:Ib2 (Mpc/h)^3          9:Ib1bG2 (Mpc/h)^3      10:IbG2 (Mpc/h)^3        11:Id2G2 (Mpc/h)^3       12:IG2G2 (Mpc/h)^3       13:IFG2b1 (Mpc/h)^3      14:IFG2 (Mpc/h)^3        15:PTree_vv (Mpc/h)^3    16:PTree_vd (Mpc/h)^3    17:PTree_dd (Mpc/h)^3 
       6.368024128256e-04      -5.129155005946e-03      -1.274184855976e-02      -7.701296714023e-03      -5.392323505377e-04      -2.541053980768e-01       5.770685220480e-03      -2.530755423970e-02      -3.402395054136e-04       2.574346013199e-05      -1.844212746624e-01       4.452406007299e-04      -4.578815846822e-02      -1.211240103426e-02       1.674716851502e+02       7.035243722301e+02       1.329838694025e+03 
       6.807951847174e-04      -6.243901481855e-03      -1.551235154134e-02      -9.372178783429e-03      -6.565969680852e-04      -2.584208149463e-01       6.709666258274e-03      -2.888545627262e-02      -4.919317910480e-04       8.966944726646e-06      -2.107531396614e-01       5.475808173940e-04      -5.573192575275e-02      -1.474284126146e-02       1.784188533493e+02       7.495118647968e+02       1.416766751648e+03 
       7.279234067888e-04      -7.602669430729e-03      -1.888972044538e-02      -1.140799005578e-02      -7.997087092502e-04      -2.633644673150e-01       7.584626806183e-03      -3.304450069315e-02      -4.914535843583e-04       4.757985774992e-05      -2.409065808972e-01       6.784898987153e-04      -6.785333813664e-02      -1.794933154432e-02       1.900794841750e+02       7.984965155354e+02       1.509360215500e+03 
       7.783710154798e-04      -9.257524744503e-03      -2.300348552391e-02      -1.388631501215e-02      -9.740763654716e-04      -2.690237542871e-01       8.529993041872e-03      -3.782106309016e-02      -4.453817855621e-04       1.111016463728e-04      -2.754119887953e-01       8.462527755940e-04      -8.261723244762e-02      -2.185484273310e-02       2.024857420679e+02       8.506134433875e+02       1.607874497975e+03 
       8.323032229236e-04      -1.126997960512e-02      -2.800680442450e-02      -1.689876496052e-02      -1.186218659732e-03      -2.754940672806e-01       9.718077068004e-03      -4.324683945848e-02      -4.930823335719e-04       1.595844038965e-04      -3.148474651456e-01       1.061401381078e-03      -1.005732184657e-01      -2.660475877021e-02       2.156633342189e+02       9.059706414475e+02       1.712513737143e+03 
       8.898596308005e-04      -1.371195060577e-02      -3.407881906607e-02      -2.055237166678e-02      -1.443765612871e-03      -2.828779207160e-01       1.122181565205e-02      -4.939050881816e-02      -6.851677135616e-04       1.812574142287e-04      -3.598338736636e-01       1.337106893709e-03      -1.223640930840e-01      -3.236912255368e-02       2.296298597670e+02       9.646420420369e+02       1.823417687980e+03 
       9.511477507798e-04      -1.666653583681e-02      -4.142645859198e-02      -2.497061777621e-02      -1.755539974819e-03      -2.912837462523e-01       1.295398275522e-02      -5.637536879405e-02      -9.309483039933e-04       2.089683533129e-04      -4.110272245486e-01       1.689745046142e-03      -1.487323769382e-01      -3.934435121912e-02       2.443933530812e+02       1.026661397491e+03       1.940650155398e+03 
       1.016237566123e-03      -2.022838948094e-02      -5.028558991254e-02      -3.029403172541e-02      -2.131609671890e-03      -3.008242549291e-01       1.484716888235e-02      -6.432229523568e-02      -1.158301427353e-03       2.708722093021e-04      -4.691085809068e-01       2.139424429681e-03      -1.805244281234e-01      -4.775433487644e-02       2.599511776269e+02       1.092017633141e+03       2.064190210280e+03 
       1.085157739717e-03      -2.450386869102e-02      -6.092130975269e-02      -3.668031070973e-02      -2.583303446006e-03      -3.116144696876e-01       1.692024668818e-02      -7.332740711840e-02      -1.372288673733e-03       3.725936037378e-04      -5.347720779656e-01       2.710555787959e-03      -2.186913690035e-01      -5.785067400533e-02       2.762894068348e+02       1.160652246624e+03       2.193927273300e+03 
       1.157893933083e-03      -2.961072218641e-02      -7.362718635280e-02      -4.430377586924e-02      -3.123184782396e-03      -3.237695979203e-01       1.926940004753e-02      -8.346293357764e-02      -1.646387639604e-03       5.000282857406e-04      -6.087116340518e-01       3.432412201911e-03      -2.642863792205e-01      -6.991196328386e-02       2.933827927399e+02       1.232459176079e+03       2.329660866271e+03 
       1.234389463579e-03      -3.567734049321e-02      -8.872351002922e-02      -5.335424281001e-02      -3.764983078212e-03      -3.374028066710e-01       2.196249332120e-02      -9.480782767647e-02      -2.030601665903e-03       6.478869477455e-04      -6.916074532073e-01       4.339491729855e-03      -3.184583987363e-01      -8.424212925087e-02       3.111953465383e+02       1.307287238688e+03       2.471105219352e+03 
       1.314548237718e-03      -4.284172267619e-02      -1.065546231869e-01      -6.403537292970e-02      -4.523485766773e-03      -3.526231788706e-01       2.503499008959e-02      -1.074471743402e-01      -2.548971455370e-03       8.205252556850e-04      -7.841133766226e-01       5.471959179381e-03      -3.824424646425e-01      -1.011678798703e-01       3.296815278223e+02       1.384945128032e+03       2.617898725320e+03 
