# Matter power spectrum P(k) at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.914584577108e-02       8.332305231973e+03 
       3.933420924051e-02       8.293025982114e+03 
       3.952429725934e-02       8.253743122554e+03 
       3.971617529500e-02       8.214481165766e+03 
       3.990991220520e-02       8.175240048860e+03 
       4.010558047050e-02       8.136016510249e+03 
       4.030325644698e-02       8.096706928708e+03 
       4.050302064112e-02       8.057483114846e+03 
       4.070495800910e-02       8.018186832878e+03 
       4.090915828347e-02       7.979033621327e+03 
       4.111571632974e-02       7.939606325357e+03 
       4.132473253675e-02       7.900396369403e+03 
       4.153631324413e-02       7.861029817985e+03 
       4.175057121162e-02       7.821666724082e+03 
       4.196762613478e-02       7.782304458883e+03 
       4.218760521293e-02       7.742875757328e+03 
       4.241064377555e-02       7.703420401557e+03 
       4.263688597448e-02       7.663963065046e+03 
       4.286648555021e-02       7.624493041955e+03 
       4.309960668193e-02       7.584842657669e+03 
       4.333642493230e-02       7.545200955845e+03 
       4.357712829978e-02       7.505458448678e+03 
       4.382191839325e-02       7.465661775888e+03 
       4.407101174607e-02       7.425797822343e+03 
       4.432464128963e-02       7.385827215415e+03 
       4.458305800972e-02       7.345831823306e+03 
       4.484653281304e-02       7.305529350442e+03 
       4.511535863615e-02       7.265245831803e+03 
       4.538985283471e-02       7.224824956470e+03 
       4.567035989798e-02       7.184297946301e+03 
       4.595725454196e-02       7.143439279536e+03 
       4.625094524480e-02       7.102564285897e+03 
       4.655187830057e-02       7.061426470987e+03 
       4.686054248287e-02       7.020066646690e+03 
       4.717747442854e-02       6.978578131814e+03 
       4.750326487512e-02       6.936750389138e+03 
       4.783856591437e-02       6.894740793917e+03 
       4.818409946016e-02       6.852421964063e+03 
       4.854066717423e-02       6.809639024936e+03 
       4.890916214912e-02       6.766638980437e+03 
       4.929058271936e-02       6.723239879791e+03 
       4.968604886135e-02       6.679461019497e+03 
       5.009682175679e-02       6.635047140156e+03 
       5.052432723957e-02       6.590298266775e+03 
       5.097018403103e-02       6.544788950944e+03 
       5.143623790431e-02       6.498794927539e+03 
       5.192460321867e-02       6.452025460869e+03 
       5.243771364478e-02       6.404407430108e+03 
       5.297838437871e-02       6.356009514031e+03 
       5.354988873076e-02       6.306376463181e+03 
       5.415605267857e-02       6.255662008898e+03 
       5.480137176968e-02       6.203618558647e+03 
       5.549115555878e-02       6.149953404752e+03 
       5.623170534897e-02       6.094433679240e+03 
       5.703053087773e-02       6.036742241854e+03 
       5.789660972060e-02       5.976403973420e+03 
       5.884068755889e-02       5.912510585470e+03 
       5.987560431018e-02       5.844764109440e+03 
       6.101660394657e-02       5.771621968907e+03 
       6.228153469986e-02       5.692092644187e+03 
       6.369075990322e-02       5.603971173779e+03 
       6.526647607832e-02       5.504731338007e+03 
       6.703101339994e-02       5.391552014622e+03 
       6.900371348073e-02       5.260309174033e+03 
       7.119641238802e-02       5.107636593960e+03 
       7.360861972775e-02       4.930248975870e+03 
       7.622474376016e-02       4.727518101535e+03 
       7.901570463513e-02       4.501347351914e+03 
       8.194493791359e-02       4.258007741502e+03 
       8.497582793569e-02       4.005896996643e+03 
       8.807712855771e-02       3.755112710043e+03 
       9.122506666948e-02       3.515118119361e+03 
       9.440294517792e-02       3.293540203826e+03 
       9.759964985482e-02       3.096118980238e+03 
       1.008080362680e-01       2.925458005975e+03 
       1.040236122901e-01       2.782030831661e+03 
       1.072435920750e-01       2.664126321588e+03 
       1.104662624793e-01       2.568421537564e+03 
       1.136905753695e-01       2.490584419463e+03 
       1.169158913904e-01       2.425577724022e+03 
       1.201418211756e-01       2.368215550157e+03 
       1.233681277699e-01       2.313526941282e+03 
       1.265946669723e-01       2.257466328593e+03 
       1.298213509736e-01       2.196867254294e+03 
       1.330481262333e-01       2.129932627755e+03 
       1.362749600337e-01       2.056197182080e+03 
       1.395018323137e-01       1.976347480553e+03 
       1.427287307093e-01       1.892114778309e+03 
       1.459556475425e-01       1.805846923573e+03 
       1.491825779928e-01       1.720215408069e+03 
       1.524095189864e-01       1.637732421893e+03 
       1.556364685211e-01       1.560602019644e+03 
       1.588634252553e-01       1.490523006157e+03 
       1.620903882581e-01       1.428504101217e+03 
       1.653173568566e-01       1.374815569715e+03 
       1.685443305423e-01       1.329243446469e+03 
       1.717713089139e-01       1.290989402748e+03 
       1.749982916417e-01       1.258779382325e+03 
       1.782252784455e-01       1.231230140606e+03 
