# Monopole moment of PT power spectra P_vv, P_vd, P_dd, P_CTR, Id2d2, Ib1b2, Ib2, Ib1bG2, IbG2(k), Id2G2, IG2G2, IFG2b1, IFG2, Ptree_vv, Ptree_vd, Ptree_dd at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Id2d2 (Mpc/h)^3        7:Ib1b2 (Mpc/h)^3        8:Ib2 (Mpc/h)^3          9:Ib1bG2 (Mpc/h)^3      10:IbG2 (Mpc/h)^3        11:Id2G2 (Mpc/h)^3       12:IG2G2 (Mpc/h)^3       13:IFG2b1 (Mpc/h)^3      14:IFG2 (Mpc/h)^3        15:PTree_vv (Mpc/h)^3    16:PTree_vd (Mpc/h)^3    17:PTree_dd (Mpc/h)^3 
       2.388920162772e-03      -2.385118214213e-01      -5.942794722908e-01      -3.542282363585e-01      -2.539093214498e-02      -6.209881060934e-01       9.136426130352e-02      -3.548062840656e-01      -2.424341170956e-02       7.491055989339e-03      -2.602080485745e+00       5.088995208140e-02      -2.157063433549e+00      -5.719269319603e-01       5.601981440241e+02       2.353435293715e+03       4.449132835136e+03 
       2.499223011227e-03      -2.710200024953e-01      -6.753869094389e-01      -4.022467155315e-01      -2.887660868242e-02      -6.620252042442e-01       1.010138637279e-01      -3.877279414303e-01      -2.877299970729e-02       8.801720899573e-03      -2.845987735058e+00       6.009652048735e-02      -2.451245290530e+00      -6.499246052372e-01       5.821064895248e+02       2.445473930531e+03       4.623130447167e+03 
       2.610919883542e-03      -3.066238522983e-01      -7.642360768153e-01      -4.547921428875e-01      -3.269906826645e-02      -7.054464308808e-01       1.114456523252e-01      -4.224620306138e-01      -3.399958932628e-02       1.027040807185e-02      -3.103850774276e+00       7.057174220725e-02      -2.773455094364e+00      -7.353530320707e-01       6.039688574607e+02       2.537319412084e+03       4.796762902183e+03 
       2.723886368643e-03      -3.454555061702e-01      -8.611598614974e-01      -5.120509786156e-01      -3.687349037577e-02      -7.512675856106e-01       1.226730151749e-01      -4.590132750459e-01      -3.997373726091e-02       1.191373177288e-02      -3.375729838654e+00       8.242499506622e-02      -3.124887411625e+00      -8.285288672675e-01       6.257524318581e+02       2.628833875977e+03       4.969769573443e+03 
       2.838009429999e-03      -3.876416820522e-01      -9.664776725351e-01      -5.742010723381e-01      -4.141454784694e-02      -7.995014166270e-01       1.346830851011e-01      -4.973915884066e-01      -4.672698807390e-02       1.375481955834e-02      -3.661665260374e+00       9.576800067144e-02      -3.506686533991e+00      -9.297554077277e-01       6.474281061062e+02       2.719895043048e+03       5.141919294096e+03 
       2.953186659667e-03      -4.333035381635e-01      -1.080495239420e+00      -6.414115651918e-01      -4.633639845151e-02      -8.501580761441e-01       1.475871829285e-01      -5.375659151564e-01      -5.439288781489e-02       1.578583168498e-02      -3.961680160159e+00       1.107144572177e-01      -3.919945896430e+00      -1.039322476878e+00       6.689701597255e+02       2.810394859615e+03       5.313007790381e+03 
       3.069325469253e-03      -4.825566285964e-01      -1.203504337687e+00      -7.138427270102e-01      -5.165267261738e-02      -9.032454693740e-01       1.613705519955e-01      -5.795420000380e-01      -6.300556563989e-02       1.803019003332e-02      -4.275782644181e+00       1.273797366234e-01      -4.365706942594e+00      -1.157506107575e+00       6.903561046780e+02       2.900238851777e+03       5.482856460803e+03 
       3.186342263839e-03      -5.355109391817e-01      -1.335782929529e+00      -7.916461413440e-01      -5.737647667918e-02      -9.587696126121e-01       1.760622057852e-01      -6.233101565193e-01      -7.263606826136e-02       2.050028414169e-02      -4.603967915573e+00       1.458804900096e-01      -4.844959835300e+00      -1.284568716308e+00       7.115662165586e+02       2.989344155684e+03       5.651308652551e+03 
       3.304161630640e-03      -5.922711112210e-01      -1.477595688686e+00      -8.749649969389e-01      -6.352041050916e-02      -1.016734902514e+00       1.917458623487e-01      -6.688420986747e-01      -8.340109063607e-02       2.319464807885e-02      -4.946220007354e+00       1.663344547097e-01      -5.358645234433e+00      -1.420759591087e+00       7.325832616556e+02       3.077638371292e+03       5.818227494508e+03 
       3.422715563174e-03      -6.529361636717e-01      -1.629193301351e+00      -9.639337205420e-01      -7.009654241983e-02      -1.077144337549e+00       2.084253991452e-01      -7.161328207048e-01      -9.535474014308e-02       2.613145825337e-02      -5.302513058790e+00       1.888601081391e-01      -5.907651909897e+00      -1.566314296527e+00       7.533924127350e+02       3.165059208184e+03       5.983495227560e+03 
